call_metric,geographic_zone,activity_category,high_call_threshold,category_hours,environmental_variable,units,n_available,median,q25,q75
Fin 20 Hz,Southern California,low_call,15,730,npp_lag_60d,mg_C_m-2_d-1,171,791.7227173,609.4988403,908.7372437
Fin 20 Hz,Southern California,low_call,15,730,npp_lag_90d,mg_C_m-2_d-1,214,744.4983215,609.6050415,970.3358765
Fin 20 Hz,Southern California,low_call,15,730,npp_lag_120d,mg_C_m-2_d-1,86,767.491272,603.7695313,928.0216674999999
Fin 20 Hz,Southern California,no_call,15,310,gebco_bathymetry_m,m,310,-4038,-4206,-3778.25
Fin 20 Hz,Southern California,no_call,15,310,sst_c,deg_C,310,16.0075,15.445,16.266000000000002
Fin 20 Hz,Southern California,no_call,15,310,chlorophyll_a,mg_m-3,121,0.27875638,0.244391963,0.396933198
Fin 20 Hz,Southern California,no_call,15,310,phytoplankton_carbon,mg_m-3,121,18.06202316,15.57138729,21.39183807
Fin 20 Hz,Southern California,no_call,15,310,poc,mg_m-3,121,76.19995117,67.19970703,99.79980469
Fin 20 Hz,Southern California,no_call,15,310,npp_concurrent,mg_C_m-2_d-1,121,454.9329834,418.9320374,540.1470947
Fin 20 Hz,Southern California,no_call,15,310,npp_lag_30d,mg_C_m-2_d-1,133,563.6392212,459.2654724,747.6055908
Fin 20 Hz,Southern California,no_call,15,310,npp_lag_60d,mg_C_m-2_d-1,74,668.6594238,594.1421509,813.2644042999999
Fin 20 Hz,Southern California,no_call,15,310,npp_lag_90d,mg_C_m-2_d-1,71,679.7244263,589.4492492500001,728.5266724
Fin 20 Hz,Southern California,no_call,15,310,npp_lag_120d,mg_C_m-2_d-1,19,661.5723267,510.7702026,755.8775635
